English,STL
a,'always ( e n g i n e _  s p e e d  < w )'
a,'always ( (not (e n g i n e _ s p e e d < o m e g a)) and (not (v e h i c l e _ s p e e d < v)) )'
a,'always ( (g e a r _ 2) and (eventually [0:EPSILON] (rise (g e a r _ 1))) -> always [0:2.5] (not (g e a r _ 2)) )'
a,'always ( rise (g e a r _ 1) -> always [0:2.5] (not fall ( g e a r _ 1 ) )'
a,'always ( rise (g e a r _ i) -> always [0:2.5] (not fall ( g e a r _ i ) )'
a,'always ( always (e n g i n e _ s p e e d < o m e g a) -> always [0:T] (not (v e h i c l e _ s p e e d  >  v)) )'
a,'eventually [0:T] ( (v e h i c l e _ s p e e d > v) and always (e n g i n e _ s p e e d < w) )'
a,'always ( ((g 1) until (g 2) until (g 3) until (g 4)) and (eventually [0:10] ((rise (g 4)) and (eventually [0:2] R P M > 2))) -> eventually [0:10] (g 4 -> eventually [0:EPSILON] ((g 4) until [0:1] (v e h i c l e _ s p e e d >= v))) )'
a,'always [0:100] ( not (always [0:1] (f u e l _ f l o w _ r a t e == 0)) )'
a,'always ( not (a i r _ t o _ f u e l _ r a t i o >= a i r _ t o  _ f u e l _ r a t i o _ m i n and a i r _ t o _ f u e l _ r a t i o <= a i r _ t o _ f u e l _ r a t i o _ m a x) -> eventually [0:1] (always [0:1] (a i r _ t o  _ f u e l _ r a t i o >= a i r _ t o  _ f u e l _ r a t i o _ m i n and a i r _ t o  _ f u e l _ r a t i o <= a i r _ t o _ f u e l _ r a t i o _ m a x)) )'
a,'always ( (c u r r e n t A D C S M o d e == N M C) or (c u r r e n t A D C S M o d e == N M F ) or (c u r r e n t A D C S M o d e == S M) )'
a,'always ( (p o i n t i n g E r r o r A b o v e 2 0 == 0) or (p o i n t i n g E r r o r A b o v e 2 0 == 1) )'
a,'always ( (p o i n t i n g E r r o r A b o v e 1 5 == 0) or (p o i n t i n g E r r o r A b o v e 1 5 == 1) )'
a,'always ( R W s _ a n g u l a r _ v e l o c i t y == 816.814 )'
a,'always [2000:INF] ( p o i n t i n g _ e r r o r < 2 )'
a,'always [1500:2000] ( R W s _ a n g u l a r _ m o m e n t u m < 0.35 )'
a,'always [2000:2000] ( p o i n t i n g _ e r r o r >= 0 and p o i n t i n g _ e r r o r <= d e l t a )'
a,'eventually [2000:7400] ( (SPIKE (p o i n t i n g _ e r r o r)) until [0:20] (fall (SPIKE (p o i n t i n g _ e r r o r))) )'
a,'always ( ABS (s a t _ i n i t _ a n g u l a r _ v e l o c i t y _ d e g r e e) <= 1.5 )'
a,'always ( ABS (s a t _ r e a l _ a n g u l a r _ v e l o c i t y) <= 1.5 )'
a,'always ( ABS (s a t _ t a r g e t _ a t t i t u d e) == 1 )'
a,'always ( ABS (s a t _ t a r g e t _ a t t i t u d e) <= 1.5 )'
a,'always ( ABS (s a t _ e s t i m a t e d _ a t t i t u d e) == 1 )'
a,'always ( ABS (s a t _ e s t i m a t e d _ a n g u l a r _ v e l o c i t y) <= 1.5 )'
a,'always ( ABS (s e t _ a n g u l a r _ v e l o c i t y _ m e a s u r e d) <= 1.5 )'
a,'always ( ABS (e a r t h _ m a g _ f i e l d _ i n _ b o d y _ m e a s u r e d) <= 60000 )'
a,'always ( ABS (s u n _ d i r e c t i o n _ E C I) == 1 )'
a,'always ( ABS (s a t _ t a r g e t _ a n g u l a r _ v e l o c i t y _ s a f e _ s p i n _ m o d e) <= 1.5 )'
a,'always ( ABS (R W s _ t o r q u e) == 0.015 )'
a,'always ( VECSUM (s u n _ s e n s o r _ v a i l a b i l i t y) <= 3 )'
a,'always [2000:2000] ( DIFF (q _ r e a l, q _ e s t i m a t e _ a t t i t u d e) >= 0 and DIFF (q _ r e a l, q _ e s t i m a t e _ a t t i t u d e) <= d e l t a )'
a,'always ( DIFF (s a t _ e s t i m a t e d _ a n g u l a r _ v e l o c i t y, s i g n a l _ s a t _ r e a l _ a n g u l a r _ v e l o c i t y) == 0 )'
a,'always ( DIFF (R W s _ t o r q u e - DERIVATIVE (R W s _ a n g u l a r _ m o m e n t u m)) == 0 )'
a,'always ( n o t _ E c l i p s e == 0 -> s u n _ c u r r e n t s == 0 )'
a,'always ( p o i n t i n g E r r o r U n d e r 1 5 == 1 -> ABS (DIFF (p o i n t i n g E r r o r U n d e r 1 5, p o i n t i n g E r r o r U n d e r 2 0)) == 1 )'
a,'always ( p o i n t i n g E r r o r U n d e r 2 0 == 1 -> ABS (DIFF (p o i n t i n g E r r o r U n d e r 2 0, p o i n t i n g E r r o r U n d e r 1 5)) == 1 )'
a,'always ( R W s _ c o m m a n d == 0 -> ((R W s _ a n g u l a r _ v e l o c i t y > 0) and (DERIVATIVE(R W s _ a n g u l a r _ v e l o c i t y) < 0)) until [0:60] (R W s _ a n g u l a r _ v e l o c i t y <= 0) )'
a,'always ( R W s _ a n g u l a r _ m o m e n t u m > 0.35 -> R W s _ t o r q u e == 0 )'
a,'always ( c u r r e n t A D C S M o d e == N M C -> c o n t r o l _ e r r o r >= 10 )'
a,'always ( c o n t r o l _ e r r o r < 10 -> c u r r e n t A D C S M o d e  == N M F )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> c o n t r o l _ e r r o r <= 15 )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> ( rise (R W s _ c o m m a n d > 0) -> always [0:180] (p o i n t i n g _ e r r o r < 2) ) )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> ( rise (R W s _ c o m m a n d > 0) -> always [0:180] (p o i n t i n g _ e r r o r < 0.5) ) )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> ( rise (N o t _ e c l i p s e == 1) -> (k n o w l e d g e _ e r r o r < 1) until [0:900] (not (k n o w l e d g e _ e r r o r < 1)) ) )'
a,'always ( c u r r e n t A D C S M o d e == S M -> ( rise (R W s _ c o m m a n d > 0) -> (R W s _ a n g u l a r _ m o m e n t u m < 0.25) until [0:900] (not (R W s _ a n g u l a r _ m o m e n t u m < 0.25)) ) )'
a,'always ( c u r r e n t A D C S M o d e == S M -> (DIFF (r e a l _ O m e g a, t a r g e t _ O m e g a) == 0) until [0:10799] (not (DIFF (r e a l _ O m e g a, t a r g e t _ O m e g a) == 0) )'
a,'always ( n o t _ E c l i p s e == 1 -> s u n _ a n g l e < 45 )'
a,'always [16200:INF] ( rise (DIFF (p o i n t i n g _ e r r o r, p o i n t i n g _ a c c u r a c y) < -2) -> eventually [0:5400] ( SPIKE (p o i n t i n g _ e r r o r) until [0:600] fall (SPIKE (p o i n t i n g _ e r r o r)) )'
a,'always [t a u_ s:T] ( ABS (m u) < 0.05 )'
a,'always [t a u _ s:T] ( rise (a) or fall (a) -> always [m u:d i v _ z e t a _ 2] ( ABS (mu) < 0.02 )'
a,'eventually [T:T] ( x _ r m s < c )'
a,'always [t a u _ s:T] ( m u > âˆ’ c _ r )'
a,'always [t a u _ s:T] ( m u < c _ r )'
a,'always [t a u _ s:T] ( (l == p o w e r) and (eventually [0:EPSILON] (l == n o r m a l)) -> always [m u:d i v _ z e t a _ 2] ( ABS (m u) < 0.02 )'
a,'always [t a u _ s:T] ( l == p o w e r -> ABS (m u _ p) < 0.2 )'
a,'always [0:T] ( ((l == s t a r t u p) or (l == s e n s o r _ f a i l)) and (rise (a) or fall (a) ) -> always [m u:d i v _ z e t a _ 2] ( ABS (m u) < 0.1 )'
a,'always ( (V e h i c l e O b s e r v e d) and (historically [0:T] (V e h i c l e O b s e r v e d)) -> ABS (DIFF (d, d _ d e s _ v)) <= EPSILON) )'
a,'always ( rise (V e h i c l e O b s e r v e d) -> eventually [0:T] (always (ABS (DIFF (d, d _ d e s _ v)) <= EPSILON)) )'
a,'always ( (rise (v _ s e t)) and (DIFF (v _ s e t, v _ o r i g i n a l) > 0) -> eventually [0:T] ( DIFF (v, v _ o r i g i n a l) > (0.9 DIFF (v _ s e t, v _ o r i g i n a l))) ), always ( (rise (v _ s e t)) and (DIFF (v _ s e t, v _ o r i g i n a l) < 0) -> eventually [0:T] ( DIFF (v _ o r i g i n a l, v) > (0.9 DIFF (v _ o r i g i n a l, v _ s e t))) )'
a,'always ( (rise(V e h i c l e O b s e r v e d)) and (always [0:T] (V e h i c l e O b s e r v e d)) and (d > d _ m i n _ c u t I n _ v) -> always [0:T] (d >= d _ s a f e _ v)  )'
a,'always (t a u < t a u _ m a x -> P)'
a,'always ( (ABS (r _ d e s) <= r _ m a x) and (ABS (v _ d e s) <= v _ m a x) -> ABS (DIFF (r, r _ d e s)) >= r _ l and ABS (DIFF (r, r _ d e s)) <= r _ u )'
a,'eventually [0:T _ f] ( (i d _ 1 <= 0) and (i d _ 2 <= 0) )'
a,'always [0:T_f] ( (ABS (DIFF (p _ 1 _ 1, p _ 2 _ 1)) >= d _ 1) and (ABS (DIFF (p _ 1 _ 2, p _ 2 _ 2)) >= d _ 2) )'
a,'always ( (ABS (x) < 0.1) and (ABS (t h e t a) < 12) )'
a,'eventually ( x > 0.4 )'
a,'eventually ( (ABS (DIFF (x _ g, x)) < 0.1) and (ABS (DIFF (y _ g, y)) < 0.1) and (ABS (DIFF (z _ g, z)) < 0.1) )'
a,'eventually ( always (d _ r e l > 15 and d _ r e l < 50) )'
a,'eventually ( (ABS (DIFF (x _ g, x)) < 0.02) and (ABS (DIFF (y _ g, y)) < 0.02) )'
a,'always [0:12] ( (eventually [0:2] (r e g i o n _ A)) and (eventually [0:2] (r e g i o n _ B)) )'
a,'always [0:7] ( (eventually [0:3] (s > 5 and s < 6)) and (eventually [0:3] (s > 1 and s < 2)) )'
a,'(eventually [0:10] ( (R e g A) or (R e g B)) ) and (eventually [11:20] ( R e g C )) and (always [9:20] ( not (O b s) ))'
a,'(always [0:15] ( (eventually [0:7] (R e g A)) and (eventually [0:7] (R e g B)) )) and (always [0:22] ( S a f e ))'
a,'eventually [0:38.9] ( (eventually [0:2.22] (w _ p < 0.88)) and (always [2.22:11.4] (w _ p > 0.9)) )'
a,'eventually [0:14400] ( (always [0:6208] (x _ 1 9 >= 0.4444)) or (always [0:6208] (x _ 3 0 < 0.0211)) )'
a,'eventually [0:14400] ( (eventually [5324:9051] (x _ 1 9 <= 0.9)) and (always [5324:9051] (x _ 9 >= 0.2)) )'
a,'eventually [0:14400] ( (always [10:4354] (x _ 1 2 >= 0.651)) and (always [7000:10500] (x _ 1 9 >= 0.664)) )'
a,'eventually [0:14400] ( (eventually [2151:5354] (x _ 1 9 >= 0.352)) and (eventually [9976:12354] (x _ 3 0 >= 0.461)) )'
a,'eventually [0:14400] ( eventually [3337:12776] (x_12 >= 0.768) )'
a,'eventually [0:14400] ( (eventually [3337:12776] (x_17 < 0.0211)) and (eventually [3337:12776] (x_12 >= 0.637)) )'
a,'eventually [0:14400] ( always [4590:9963] (x _ 1 0 >= 0.325) )'
a,'eventually [0:14400] ( always [7000:10500] (x _ 1 9 >= 0.664) )'
a,'always ( ABS (x) < 6 )'
a,'always ( rise (t r i g g e r) -> eventually [0:600] (always [0:300] (ABS (x) < 1)) )'
a,'always ( rise (v t > 5) -> ((ABS (i d) > 0.000005) and (v t > 4.5)) until (fall (i d > 0.000005)) ), n o t _ p g m := (w l <= 0.1) and (eventually [0:15] ((w l >= 3.8) and (I d >= 0.00003))'
a,'n o t _ p g m := (w l <= 0.1) and (eventually [0:15] ((w l >= 3.8) and (I d >= 0.00003)), always ( rise (n o t _ p g m) -> eventually ((rise (b l >= 3.8)) and ((b l >= 3.8) until [300:1500] (w l >= 6))) )'
a,'always ( rise (b l >= 3.8) -> (not (b l <= 0.1)) until ((v t >= 5) and (ABS (i d) <= 0.000005)) )'
a,'e r a s i n g _ c o n d := (w l <= -6) and (p w > 5), always ( e r a s i n g _ c o n d -> (ABS (DIFF (s, p w)) <= 0.1) and (DIFF(p w,b l) < 0.83) )'
a,'always ( (b l > 2.5) and (w l > 2.5) -> p w <= -0.5 )'
a,'d q s _ a b o v e _ v i h d c m i n := D Q S >= 1.025, d q _ a b o v e _ v i l a c m a x := D Q >= 0.65, always ( fall (d q s _ a b o v e _ v i h d c m i n) -> historically[0:t D S] (not fall (d q _ a b o v e _ v i l a c m a x)) )'
a,'d q _ i n _ f s r := (D Q >= 0.65 and D Q <= 0.9) since (D Q >= 0.9), d q s _ i n _ f s r := (D Q S >= 0.65 and D Q S <= 0.9) since (D Q S >= 0.9), d q _ s l e w _ r a t e _ i n _ 1 _ 2 := (not (d q _ i n _ f s r)) since ((d q _ i n _ f s r) since [125:250] (rise (d q _ i n _ f s r))), d q s _ s l e w _ r a t e _ i n _ 1 _ 2 := (not (d q s _ i n _ f s r)) until ((d q s _ i n _ f s r) until [125:250] (fall (d q s _ i n _ f s r))), t o p _ l e f t _ r e g i o n := (d q _ s l e w _ r a t e _ i n _ 1 _ 2) and (d q s _ s l e w _ r a t e _ i n _ 1 _ 2), d q s _ a b o v e _ v i h d c m i n := D Q S >= 1.025, d q _ a b o v e _ v i l a c m a x := D Q >= 0.65, always ( (fall (d q s _ a b o v e _ v i h d c m i n)) and (t o p _ l e f t _ r e g i o n)  -> historically [0:338] (not fall (d q _ a b o v e _ v i l a c m a x)) )'
a,'always ( rise ( O p _ C m d == P a s s i v e ) -> eventually [ 0 : 500 ] (S p d _ A c t == 0) )'
a,'always ( rise ( O p _ C m d == R u n n i n g ) -> eventually [ 0 : 500 ] ( S p d _ A c t >= 0 and S p d _ A c t <= 1000 ) )'
a,'always ( rise ( O p _ C m d == R u n n i n g ) -> O p _ I n d == G r e e n )'
a,'always ( S p d _ T g t >= 0 and S p d _ T g t <= 1000 )'
a,'always ( V _ S p l y >= 10 and V _ S p l y <= 14 )'
a,'always ( O p _ C m d == R u n n i n g or O p _ C m d == P a s s i v e )'
a,'always ( rise (historically [ 0 : 20 ] (V _ m o t == 0)) -> eventually [ 0 : 100 ] (always [ 0 : 20 ] (S p d _ A c t == 0)) )'
a,'always ( V _ M o t == 0 -> S p d _ A c t == 0 )'
a,'always ( rise ( V _ M o t >= 1 and V _ M o t <= 12 ) -> eventually [ 0 : 100 ] ( S p d _ A c t >= 100 and S p d _ A c t <= 1000 ) )'
a,'always ( rise ( historically [ 0 : 50 ] (S p t _ A c t <= 100) ) -> eventually [ 0 : 5 ] ((S p d _ A c t _ M e a s == 0) until (S p d _ A c t > 100) ) )'
a,'always ( rise ( historically [ 0 : 20 ] (S p t _ A c t _ M e a s <= 1) ) -> eventually [ 0 : 100 ] (always [ 0 : 20 ] (P W M == 0)) )'
a,'always ( rise ( historically [ 0 : 20 ] (S p t _ A c t _ M e a s <= 1) ) -> ( (P W M == 0) until (S p d _ A c t _ M e a s > 0)) )'
a,'always ( rise ( historically [ 0 : 20 ] ( (O p _ C m d == R u n n i n g) and (S p d _ T g t >= 0 and S p d _ T g t <= 100) ) ) -> eventually [ 0 : 200 ] ( P W M >= 1 and P W M <= 12 ) )'
a,'always ( rise ( historically [ 0 : 20 ] (P W M == 0) ) -> eventually [ 0 : 100 ] (always [ 0 : 20 ] (V _ M o t == 0)) )'
a,'always ( rise ( historically [ 0 : 20 ] (P W M >= 1 and P W M <= 12 )) -> eventually [ 0 : 100 ] ( V _ M o t >= 1 and V _ M o t <= 12 ) )'
a,'always ( fall ( V _ M o t >= 1 ) -> eventually [ 0 : 100 ] (always [ 0 : 20 ] ( not T r q )) )'
a,'always ( fall (I N  == O N) -> fall (V _ O U T > V _ G N D) ) '
a,'always ( (V _ O U T < V _ G N D) and (I _ L > 0) -> V _ O U T == DIFF (V S, V D S _ A Z) ) '
a,'I n v e r s e := V _ I N > _ V S, always ( (O U T == I N) and (I n v e r s e) -> (not ((rise (I N == O N)) and (once [0: EPSILON] (I N == O F F)))) since (rise (I n v e r s e)) ), always ( (O U T == I N) and (I n v e r s e) -> (not ((I N == O N) and (once [0: EPSILON] (I N == O F F)))) since (rise (I n v e r s e)) ), always ( (O U T == I N) and (I n v e r s e) -> (not ((I N == O F F) and (eventually [0: EPSILON] (rise (I N == O N))))) since (rise (I n v e r s e)) ), always ( (O U T == I N) and (I n v e r s e) -> (not ((I N == O F F) and (eventually [0: EPSILON] (I N == O N)))) since (rise (I n v e r s e)) )'
a,'always ( (rise (I N == O N)) and (once [0: EPSILON] (I N == O F F)) and (I n v e r s e) -> (O U T == O F F) until (fall (I n v e r s e)) ), always ( (I N == O N) and (once [0: EPSILON] (I N == O F F)) and (I n v e r s e) -> (O U T == O F F) until (fall (I n v e r s e)) ), always ( (I N == O F F) and (eventually [0: EPSILON] (rise (I N == O N))) and (I n v e r s e) -> (O U T == O F F) until (fall (I n v e r s e)) ), always ( (I N == O F F) and (eventually [0: EPSILON] (I N == O N)) and (I n v e r s e) -> (O U T == O F F) until (fall (I n v e r s e)) )'
a,'always ( I n v e r s e -> not ( I _ I N V > I _ L _ I N V) )'
a,'always ( (C H == O F F) and (I n v e r s e) -> O L == O F F )'
a,'always ( (C H == O N) and (I n v e r s e) -> (O L == O N) and (O T s i g == i n h i b i t e d) )'
a,'always( (not (M G)) and (L G) -> eventually [0:T p] (D v == O F F) ) '
a,'always ( (not (M G)) or (not (D G)) -> eventually (I o u t D M O S) )'
a,'always ( V S >= V S _ U V and V S <= V S _ O P -> U M == t r i g g e r e d )'
a,'always ( V S  <=  V S _ U V -> D v == O F F )'
a,'always ( V S >= V S _ O P -> D v == O N )'
a,'always ( d i a g n o s i s == g u a r a n t e e d -> V S >= V N O M _ m i n and V S <= V N O M _ m a x )'
a,'always ( V S >= V S _ A Z -> (P o w T r a n s == O N) and (V l o g i c == c l a m p e d) ), always ( (P o w T r a n s == O N) and (V l o g i c == c l a m p e d) -> eventually ((V i n G N D == DIFF (V S ,V S _ A Z)) and (V I n x == DIFF (V S ,V S _ A Z)) and (V D S E L == DIFF (V S ,V S _ A Z)) and (V D E N == DIFF (V S ,V S _ A Z))) )'
a,'always ( D v == O N -> (B T == O N) until (o v e r v o l t a g e) )'
a,'always ( B T == O F F -> (P o w T r a n s == O N or P o w T r a n s == O F F) until o v e r v o l t a g e )'
a,'always ( V S > V B A T _ S C and V S < V D S _ A Z -> (O u t T r a n s == O N) and (DIFF (S _ o u t T r a n s, S _ i n) <= EPSILON) )'
a,'R P := V S _ R E V >= -16 and V S _ R E V <= 0, always ( R P -> (I G N D <= I G N D _ m a x) and (I l S <= I l S _ m a x) and (I D S E L <= I D S E L _ m a x) and (I D E N <= I D E N _ m a x) and (I I n x <= I I n x _ m a x) )'
a,'always ( rise (I N == O N) -> rise (V D E N == O N) )'
a,'always ( rise (V D E N == O N) -> eventually [0:t I s _ r i s e] ((rise (I l S > I l S _ F A U L T)) and ((I l S > I l S _ F A U L T) until (V D E N == O F F))) )'
a,'always ( (rise (T D M O S >= T J _ S C)) or ((rise (d e l t a _ T S T E P)) and (once [0: d e l t a _ t _ d e l t a _ T S T E P] (rise (d e l t a _ T J _ S W == r e a c h e d)))) -> eventually [0:t D E N _ f a l l] ((fall (V D E N == O N)) and ((V D E N == O F F) until ((T D M O S < T t h r e s h o l d) and (not (d e l t a _ T J _ S W == r e a c h e d))))) )'
a,'always ( fall (V D E N == O N) -> eventually [0:t I s _ f a l l] ((fall (I l S > I l S _ F A U L T)) and ((I l S == 0) until (V D E N == O N))) )'
a,'always ( (rise (historically [0:t t e m p] ((T D M O S < T t h r e s h o l d) and (not (d e l t a _ T J _ S W == r e a c h e d))))) and (I N == O N) -> eventually (rise (V D E N == O N)) )'